id,run,condition,aversiveness,control,helplessness,stress
51,1,bas,NA,NA,NA,0
51,2,bas,NA,NA,NA,0
51,3,bas,NA,NA,NA,20
51,4,bas,NA,NA,NA,5
52,1,con,70,45,75,60
52,2,con,65,70,70,70
52,3,con,65,60,60,70
52,4,con,65,75,60,75
52,1,noc,65,30,85,75
52,2,noc,65,25,85,70
52,3,noc,65,30,75,75
52,4,noc,65,25,85,75
52,1,bas,NA,NA,NA,35
52,2,bas,NA,NA,NA,60
52,3,bas,NA,NA,NA,65
52,4,bas,NA,NA,NA,65
